ԱԱԽ	ɑ ɑ χ ə
անենք	ɑ n e ŋ kʰ
անզուսպ	ɑ n z u s p
անընդհատ	ɑ n ə n tʰ h ɑ t
անընդմեջ	ɑ n ə n d m e t͡ʃʰ
անի	ɑ n i
անիծյալ	ɑ n i t͡s j ɑ l
անիմաստ	ɑ n i m ɑ s t
անիմացիայի	ɑ n i m ɑ t͡sʰ j ɑ j i
անիմացիաներ	ɑ n i m ɑ t͡sʰ j ɑ n e ɾ
անիշխանության	ɑ n i ʃ χ ɑ n u tʰ j ɑ n
Անիվը	ɑ n i v ə
անիվն	ɑ n i v n
անիվներ	ɑ n i v n e ɾ
անիվները	ɑ n i v n e ɾ ə
անիվների	ɑ n i v n e ɾ i
անիվներով	ɑ n i v n e ɾ o v
անլուրջ	ɑ n l u ɾ d͡ʒ
անխափան	ɑ n χ ɑ pʰ ɑ n
անխոս	ɑ n χ o s
անխորտակելի	ɑ n χ o ɾ t ɑ k e l i
անխուսափելի	ɑ n χ u s ɑ pʰ e l i
անծայրածիր	ɑ n t͡s ɑ j ɾ ɑ t͡s i ɾ
անծանոթ	ɑ n t͡s ɑ n o tʰ
անծանոթի	ɑ n t͡s ɑ n o tʰ i
անկախ	ɑ ŋ k ɑ χ
անկախացումից	ɑ ŋ k ɑ χ ɑ t͡sʰ u m i t͡sʰ
անկախության	ɑ ŋ k ɑ χ u tʰ j ɑ n
անկախությունը	ɑ ŋ k ɑ χ u tʰ j u n ə
անկախությունից	ɑ ŋ k ɑ χ u tʰ j u n i t͡sʰ
անկայուն	ɑ ŋ k ɑ j u n
անկարգությունները	ɑ ŋ k ɑ ɾ kʰ u tʰ j u n n e ɾ ə
անկարելի	ɑ ŋ k ɑ ɾ e l i
անկարողություն	ɑ ŋ k ɑ ɾ o ʁ u tʰ j u n
անկեղծ	ɑ ŋ k e χ t͡s
անկեղծությունը	ɑ ŋ k e χ t͡s u tʰ j u n ə
անկման	ɑ ŋ k m ɑ n
անկյուն	ɑ ŋ k j u n
անկյունային	ɑ ŋ k j u n ɑ j i n
անկյունում	ɑ ŋ k j u n u m
անկողին	ɑ ŋ k o ʁ i n
անկողնային	ɑ ŋ k o ʁ n ɑ j i n
անկողնուց	ɑ ŋ k o ʁ n u t͡sʰ
անկում	ɑ ŋ k u m
անհամեմատ	ɑ n h ɑ m e m ɑ t
անհայտ	ɑ n h ɑ j t
անհանգստացնող	ɑ n h ɑ ŋ ɡ ə s t ɑ t͡sʰ n o ʁ
անհանգստություն	ɑ n h ɑ ŋ ɡ ə s t u tʰ j u n
անհանգստությունը	ɑ n h ɑ ŋ ɡ ə s t u tʰ j u n ə
անհաշվելի	ɑ n h ɑ ʃ v e l i
անհապաղ	ɑ n h ɑ p ɑ ʁ
անհաջող	ɑ n h ɑ d͡ʒ o ʁ
անհաջողություն	ɑ n h ɑ d͡ʒ o ʁ u tʰ j u n
անհաջողություններից	ɑ n h ɑ d͡ʒ o ʁ u tʰ j u n n e ɾ i t͡sʰ
անհասանելի	ɑ n h ɑ s ɑ n e l i
անհասկանալի	ɑ n h ɑ s k ɑ n ɑ l i
անհավանական	ɑ n h ɑ v ɑ n ɑ k ɑ n
անհավանություններից	ɑ n h ɑ v ɑ n u tʰ j u n n e ɾ i t͡sʰ
անհավատալի	ɑ n h ɑ v ɑ t ɑ l i
անհավատալիորեն	ɑ n h ɑ v ɑ t ɑ l i o ɾ e n
անհատական	ɑ n h ɑ t ɑ k ɑ n
անհատի	ɑ n h ɑ t i
անհատներ	ɑ n h ɑ t n e ɾ
անհատները	ɑ n h ɑ t n e ɾ ə
անհատների	ɑ n h ɑ t n e ɾ i
անհատներին	ɑ n h ɑ t n e ɾ i n
անհարմար	ɑ n h ɑ ɾ m ɑ ɾ
անհարմարության	ɑ n h ɑ ɾ m ɑ ɾ u tʰ j ɑ n
անհետաձգելիությունը	ɑ n h e t ɑ d͡z ə kʰ e l i u tʰ j u n ə
անհետանում	ɑ n h e t ɑ n u m
անհետացավ	ɑ n h e t ɑ t͡sʰ ɑ v
անհնար	ɑ n h ə n ɑ ɾ
անհրաժեշտ	ɑ n h ə ɾ ɑ ʒ e ʃ t
անհրաժեշտ	ɑ n ɾ ɑ ʒ e ʃ t
անհրաժեշտության	ɑ n h ə ɾ ɑ ʒ e ʃ t u tʰ j ɑ n
անհրաժեշտության	ɑ n ɾ ɑ ʒ e ʃ t u tʰ j ɑ n
անհրաժեշտություն	ɑ n h ə ɾ ɑ ʒ e ʃ t u tʰ j u n
անհրաժեշտություն	ɑ n ɾ ɑ ʒ e ʃ t u tʰ j u n
անհրաժեշտությունից	ɑ n h ə ɾ ɑ ʒ e ʃ t u tʰ j u n i t͡sʰ
անհրաժեշտությունից	ɑ n ɾ ɑ ʒ e ʃ t u tʰ j u n i t͡sʰ
անհրաժեշտությունն	ɑ n h ə ɾ ɑ ʒ e ʃ t u tʰ j u n n
անհրաժեշտությունն	ɑ n ɾ ɑ ʒ e ʃ t u tʰ j u n n
անձ	ɑ n d͡z
անձամբ	ɑ n d͡z ɑ m b
անձանց	ɑ n d͡z ɑ n t͡sʰ
անձեռնամխելի	ɑ n d͡z e r n ɑ m ə χ e l i
անձը	ɑ n d͡z ə
անձի	ɑ n d͡z i
անձինք	ɑ n d͡z i ŋ kʰ
անձնագիրը	ɑ n d͡z n ɑ ɡ i ɾ ə
անձնագրային	ɑ n d͡z n ɑ ɡ ə ɾ ɑ j i n
անձնագրեր	ɑ n d͡z n ɑ ɡ ə ɾ e ɾ
անձնագրերը	ɑ n d͡z n ɑ ɡ ə ɾ e ɾ ə
անձնակազմը	ɑ n d͡z n ɑ k ɑ z m ə
անձնակազմի	ɑ n d͡z n ɑ k ɑ z m i
Անձնակազմն	ɑ n d͡z n ɑ k ɑ z m n
անձնական	ɑ n d͡z n ɑ k ɑ n
անձնավորության	ɑ n d͡z n ɑ v o ɾ u tʰ j ɑ n
անձնավորությունը	ɑ n d͡z n ɑ v o ɾ u tʰ j u n ə
անձրևային	ɑ n d͡z ɾ e v ɑ j i n
անձրևի	ɑ n d͡z ɾ e v i
անձրևից	ɑ n d͡z ɾ e v i t͡sʰ
անձրևն	ɑ n d͡z ɾ e v n
անձրևներ	ɑ n d͡z ɾ e v n e ɾ
անձրևների	ɑ n d͡z ɾ e v n e ɾ i
անձրևներից	ɑ n d͡z ɾ e v n e ɾ i t͡sʰ
Անձրևոտ	ɑ n d͡z ɾ e v o t
անճանաչելի	ɑ n t͡ʃ ɑ n ɑ t͡ʃʰ e l i
անմատչելիության	ɑ n m ɑ t t͡ʃʰ e l i u tʰ j ɑ n
անմաքուր	ɑ n m ɑ kʰ u ɾ
անմիջական	ɑ n m i t͡ʃʰ ɑ k ɑ n
Անմիջապես	ɑ n m i t͡ʃʰ ɑ p e s
Աննա	ɑ n n ɑ
աննկատ	ɑ n n ə k ɑ t
անշարժ	ɑ n ʃ ɑ ɾ ʒ
անշուշտ	ɑ n ʃ u ʃ t
անոթները	ɑ n o tʰ n e ɾ ə
անոթների	ɑ n o tʰ n e ɾ i
անող	ɑ n o ʁ
անորոշ	ɑ n o ɾ o ʃ
անորոշ	ɑ n v o ɾ o ʃ
անում	ɑ n u m
անուն	ɑ n u n
անունը	ɑ n u n ə
անունից	ɑ n u n i t͡sʰ
անունն	ɑ n u n n
անուններն	ɑ n u n n e ɾ n
անունով	ɑ n u n o v
անուշադրությանը	ɑ n u ʃ ɑ d ɾ u tʰ j ɑ n ə
անչափահասին	ɑ n t͡ʃʰ ɑ pʰ ɑ h ɑ s i n
անչափահասների	ɑ n t͡ʃʰ ɑ pʰ ɑ h ɑ s n e ɾ i
անչափահասներին	ɑ n t͡ʃʰ ɑ pʰ ɑ h ɑ s n e ɾ i n
անպայմանորեն	ɑ n p ɑ j m ɑ n o ɾ e n
անպատրաստ	ɑ n p ɑ t ɾ ɑ s t
անպարկեշտ	ɑ n p ɑ ɾ k e ʃ t
անջատել	ɑ n d͡ʒ ɑ t e l
անջատելու	ɑ n d͡ʒ ɑ t e l u
անջատիչը	ɑ n d͡ʒ ɑ t i t͡ʃʰ ə
անջատումը	ɑ n d͡ʒ ɑ t u m ə
անջատված	ɑ n d͡ʒ ɑ t v ɑ t͡s
անջատվել	ɑ n d͡ʒ ɑ t v e l
անջատվեց	ɑ n d͡ʒ ɑ t v e t͡sʰ
անջատվում	ɑ n d͡ʒ ɑ t v u m
Անջելես	ɑ n d͡ʒ e l e s
Անջելեսի	ɑ n d͡ʒ e l e s i
անջրանցիկ	ɑ n d͡ʒ ə ɾ ɑ n t͡sʰ i k
անսահմանափակ	ɑ n s ɑ h m ɑ n ɑ pʰ ɑ k
Անսայի	ɑ n s ɑ j i
անսարքության	ɑ n s ɑ ɾ kʰ u tʰ j ɑ n
անսովոր	ɑ n s o v o ɾ
անվամբ	ɑ n v ɑ m b
անվան	ɑ n v ɑ n
անվանակարգ	ɑ n v ɑ n ɑ k ɑ ɾ kʰ
անվանակարգեր	ɑ n v ɑ n ɑ k ɑ ɾ kʰ e ɾ
անվանակարգերը	ɑ n v ɑ n ɑ k ɑ ɾ kʰ e ɾ ə
անվանել	ɑ n v ɑ n e l
անվանելով	ɑ n v ɑ n e l o v
անվանեց	ɑ n v ɑ n e t͡sʰ
անվանկարգերին	ɑ n v ɑ ŋ k ɑ ɾ kʰ e ɾ i n
անվանում	ɑ n v ɑ n u m
անվանումը	ɑ n v ɑ n u m ə
անվանվում	ɑ n v ɑ n v u m
անվաչմուշկային	ɑ n v ɑ t͡ʃʰ ə m u ʃ k ɑ j i n
անվաչմուշկներով	ɑ n v ɑ t͡ʃʰ ə m u ʃ k n e ɾ o v
անվասայլակով	ɑ n v ɑ s ɑ j l ɑ k o v
անվերջ	ɑ n v e ɾ t͡ʃʰ
անվերջանալի	ɑ n v e ɾ t͡ʃʰ ɑ n ɑ l i
անվի	ɑ n v i
անվճար	ɑ n v ə t͡ʃ ɑ ɾ
անվնաս	ɑ n v ə n ɑ s
անվտագության	ɑ n v ə t ɑ ɡ u tʰ j ɑ n
անվտանգ	ɑ n v ə t ɑ ŋ ɡ
անվտանգության	ɑ n v ə t ɑ ŋ ɡ u tʰ j ɑ n
անվտանգությունը	ɑ n v ə t ɑ ŋ ɡ u tʰ j u n ə
անվտանգությունն	ɑ n v ə t ɑ ŋ ɡ u tʰ j u n n
անտառային	ɑ n t ɑ r ɑ j i n
անտառապահ-կայանն	ɑ n t ɑ r ɑ p ɑ h k ɑ j ɑ n n
անտառապահների	ɑ n t ɑ r ɑ p ɑ h n e ɾ i
անտառապատ	ɑ n t ɑ r ɑ p ɑ t
անտառներ	ɑ n t ɑ r n e ɾ
անտառները	ɑ n t ɑ r n e ɾ ə
անտառների	ɑ n t ɑ r n e ɾ i
անտառներում	ɑ n t ɑ r n e ɾ u m
անտառում	ɑ n t ɑ r u m
անտարբերությունը	ɑ n t ɑ ɾ b e ɾ u tʰ j u n ə
Անտարկտիդան	ɑ n t ɑ ɾ k t i d ɑ n
Անտարկտիկական	ɑ n t ɑ ɾ k t i k ɑ k ɑ n
Անտարկտիկայի	ɑ n t ɑ ɾ k t i k ɑ j i
Անտարկտիկան	ɑ n t ɑ ɾ k t i k ɑ n
անտեսանելի	ɑ n t e s ɑ n e l i
անտեսված	ɑ n t e s v ɑ t͡s
Անտիկ	ɑ n t i k
Անտուանետը	ɑ n t u ɑ n e t ə
անց	ɑ n t͡sʰ
անցաթղթեր	ɑ n t͡sʰ ɑ tʰ ə χ tʰ e ɾ
անցած	ɑ n t͡sʰ ɑ t͡s
անցակետերի	ɑ n t͡sʰ ɑ k e t e ɾ i
անցակետը	ɑ n t͡sʰ ɑ k e t ə
անցանկալի	ɑ n t͡sʰ ɑ ŋ k ɑ l i
անցանց	ɑ n t͡sʰ ɑ n t͡sʰ
անցավ	ɑ n t͡sʰ ɑ v
անցել	ɑ n t͡sʰ e l
անցկացնել	ɑ n t͡sʰ k ɑ t͡sʰ n e l
անցկացնելու	ɑ n t͡sʰ k ɑ t͡sʰ n e l u
անցկացնում	ɑ n t͡sʰ k ɑ t͡sʰ n u m
անցկացում	ɑ n t͡sʰ k ɑ t͡sʰ u m
անցկացվել	ɑ n t͡sʰ k ɑ t͡sʰ v e l
անցկացվում	ɑ n t͡sʰ k ɑ t͡sʰ v u m
անցկացրած	ɑ n t͡sʰ k ɑ t͡sʰ ɾ ɑ t͡s
անցկացրել	ɑ n t͡sʰ k ɑ t͡sʰ ɾ e l
անցյալ	ɑ n t͡sʰ j ɑ l
անցյալի	ɑ n t͡sʰ j ɑ l i
անցյալն	ɑ n t͡sʰ j ɑ l n
անցնեին	ɑ n t͡sʰ n e j i n
անցնել	ɑ n t͡sʰ n e l
անցնելը	ɑ n t͡sʰ n e l ə
անցնելով	ɑ n t͡sʰ n e l o v
անցնելու	ɑ n t͡sʰ n e l u
անցներ	ɑ n t͡sʰ n e ɾ
անցնեք	ɑ n t͡sʰ n e kʰ
անցնող	ɑ n t͡sʰ n o ʁ
անցնում	ɑ n t͡sʰ n u m
անցումը	ɑ n t͡sʰ u m ə
անցումն	ɑ n t͡sʰ u m n
անցքերը	ɑ n t͡sʰ kʰ e ɾ ə
անցքերի	ɑ n t͡sʰ kʰ e ɾ i
անցքի	ɑ n t͡sʰ kʰ i
անփառունակ	ɑ n pʰ ɑ r u n ɑ k
անփորձ	ɑ n pʰ o ɾ t͡sʰ
անփույթ	ɑ n pʰ u j tʰ
Անօդաչու	ɑ n o t ɑ t͡ʃʰ u
Անօրինական	ɑ n o ɾ i n ɑ k ɑ n
անօրինականությունների	ɑ n o ɾ i n ɑ k ɑ n u tʰ j u n n e ɾ i
Անֆա	ɑ n f ɑ
աշակերտները	ɑ ʃ ɑ k e ɾ t n e ɾ ə
աշխատած	ɑ ʃ χ ɑ t ɑ t͡s
աշխատակից	ɑ ʃ χ ɑ t ɑ k i t͡sʰ
աշխատակիցներ	ɑ ʃ χ ɑ t ɑ k i t͡sʰ n e ɾ
աշխատակցին	ɑ ʃ χ ɑ t ɑ k t͡sʰ i n
աշխատանք	ɑ ʃ χ ɑ t ɑ ŋ kʰ
աշխատանքային	ɑ ʃ χ ɑ t ɑ ŋ kʰ ɑ j i n
աշխատանքը	ɑ ʃ χ ɑ t ɑ ŋ kʰ ə
աշխատանքի	ɑ ʃ χ ɑ t ɑ ŋ kʰ i
աշխատանքից	ɑ ʃ χ ɑ t ɑ ŋ kʰ i t͡sʰ
աշխատանքն	ɑ ʃ χ ɑ t ɑ ŋ kʰ n
աշխատանքները	ɑ ʃ χ ɑ t ɑ ŋ kʰ n e ɾ ə
աշխատանքների	ɑ ʃ χ ɑ t ɑ ŋ kʰ n e ɾ i
աշխատանքներին	ɑ ʃ χ ɑ t ɑ ŋ kʰ n e ɾ i n
աշխատանքներից	ɑ ʃ χ ɑ t ɑ ŋ kʰ n e ɾ i t͡sʰ
աշխատասենյակում	ɑ ʃ χ ɑ t ɑ s e n j ɑ k u m
աշխատավայրեր	ɑ ʃ χ ɑ t ɑ v ɑ j ɾ e ɾ
աշխատավայրերը	ɑ ʃ χ ɑ t ɑ v ɑ j ɾ e ɾ ə
աշխատավարձ	ɑ ʃ χ ɑ t ɑ v ɑ ɾ t͡sʰ
աշխատավարձերի	ɑ ʃ χ ɑ t ɑ v ɑ ɾ t͡sʰ e ɾ i
աշխատավոր	ɑ ʃ χ ɑ t ɑ v o ɾ
աշխատավորները	ɑ ʃ χ ɑ t ɑ v o ɾ n e ɾ ə
աշխատավորների	ɑ ʃ χ ɑ t ɑ v o ɾ n e ɾ i
աշխատեին	ɑ ʃ χ ɑ t e j i n
աշխատել	ɑ ʃ χ ɑ t e l
աշխատելը	ɑ ʃ χ ɑ t e l ə
աշխատելն	ɑ ʃ χ ɑ t e l n
աշխատելու	ɑ ʃ χ ɑ t e l u
աշխատեն	ɑ ʃ χ ɑ t e n
աշխատեց	ɑ ʃ χ ɑ t e t͡sʰ
աշխատող	ɑ ʃ χ ɑ t o ʁ
աշխատողներից	ɑ ʃ χ ɑ t o ʁ n e ɾ i t͡sʰ
Աշխատողներն	ɑ ʃ χ ɑ t o ʁ n e ɾ n
աշխատուժի	ɑ ʃ χ ɑ t u ʒ i
աշխատում	ɑ ʃ χ ɑ t u m
աշխարհ	ɑ ʃ χ ɑ ɾ
աշխարհագրական	ɑ ʃ χ ɑ ɾ ɑ ɡ ɾ ɑ k ɑ n
աշխարհագրության	ɑ ʃ χ ɑ ɾ ɑ ɡ ɾ u tʰ j ɑ n
աշխարհագրությունը	ɑ ʃ χ ɑ ɾ ɑ ɡ ɾ u tʰ j u n ə
աշխարհագրությունից	ɑ ʃ χ ɑ ɾ ɑ ɡ ɾ u tʰ j u n i t͡sʰ
աշխարհահռչակ	ɑ ʃ χ ɑ ɾ ɑ h ə r t͡ʃʰ ɑ k
աշխարհը	ɑ ʃ χ ɑ ɾ ə
աշխարհի	ɑ ʃ χ ɑ ɾ i
աշխարհիկ	ɑ ʃ χ ɑ ɾ i k
աշխարհին	ɑ ʃ χ ɑ ɾ i n
աշխարհից	ɑ ʃ χ ɑ ɾ i t͡sʰ
աշխարհն	ɑ ʃ χ ɑ ɾ n
աշխարհներ	ɑ ʃ χ ɑ ɾ n e ɾ
աշխարհով	ɑ ʃ χ ɑ ɾ o v
աշխարհում	ɑ ʃ χ ɑ ɾ u m
աշխույժ	ɑ ʃ χ u j ʒ
Աշտարակի	ɑ ʃ t ɑ ɾ ɑ k i
աշտարակներ	ɑ ʃ t ɑ ɾ ɑ k n e ɾ
աշտարակների	ɑ ʃ t ɑ ɾ ɑ k n e ɾ i
Աունն	ɑ u n n
աչքերը	ɑ t͡ʃʰ kʰ e ɾ ə
աչքերին	ɑ t͡ʃʰ kʰ e ɾ i n
աչքերից	ɑ t͡ʃʰ kʰ e ɾ i t͡sʰ
աչքը	ɑ t͡ʃʰ kʰ ə
աչքի	ɑ t͡ʃʰ kʰ i
ապա	ɑ p ɑ
ապագա	ɑ p ɑ ɡ ɑ
ապագայի	ɑ p ɑ ɡ ɑ j i
ապագայից	ɑ p ɑ ɡ ɑ j i t͡sʰ
ապագայում	ɑ p ɑ ɡ ɑ j u m
ապակե	ɑ p ɑ k e
ապակեպատ	ɑ p ɑ k e p ɑ t
ապակիներին	ɑ p ɑ k i n e ɾ i n
Ապակիներից	ɑ p ɑ k i n e ɾ i t͡sʰ
ապահով	ɑ p ɑ h o v
ապահովագրական	ɑ p ɑ h o v ɑ ɡ ɾ ɑ k ɑ n
ապահովագրության	ɑ p ɑ h o v ɑ ɡ ɾ u tʰ j ɑ n
ապահովագրությունն	ɑ p ɑ h o v ɑ ɡ ɾ u tʰ j u n n
ապահովադրի	ɑ p ɑ h o v ɑ d ɾ i
ապահովել	ɑ p ɑ h o v e l
ապահովելը	ɑ p ɑ h o v e l ə
ապահովելն	ɑ p ɑ h o v e l n
ապահովելու	ɑ p ɑ h o v e l u
ապահովի	ɑ p ɑ h o v i
ապահովիչ	ɑ p ɑ h o v i t͡ʃʰ
ապահովման	ɑ p ɑ h o v m ɑ n
ապահովող	ɑ p ɑ h o v o ʁ
ապահովում	ɑ p ɑ h o v u m
ապամիջուկայնացմանը	ɑ p ɑ m i t͡ʃʰ u k ɑ j n ɑ t͡sʰ m ɑ n ə
ապարատներից	ɑ p ɑ ɾ ɑ t n e ɾ i t͡sʰ
ապարներից	ɑ p ɑ ɾ n e ɾ i t͡sʰ
ապացույց	ɑ p ɑ t͡sʰ u j t͡sʰ
Ապացույցը	ɑ p ɑ t͡sʰ u j t͡sʰ ə
ապացույցները	ɑ p ɑ t͡sʰ u j t͡sʰ n e ɾ ə
ապացույցով	ɑ p ɑ t͡sʰ u j t͡sʰ o v
ապացուցման	ɑ p ɑ t͡sʰ u t͡sʰ m ɑ n
ապացուցում	ɑ p ɑ t͡sʰ u t͡sʰ u m
ապացուցված	ɑ p ɑ t͡sʰ u t͡sʰ v ɑ t͡s
Ապոլլո-Սոյուզ	ɑ p o l l o s o j u z
Ապոլո	ɑ p o l o
Ապստամբության	ɑ p ə s t ɑ m b u tʰ j ɑ n
Ապստամբության	ɑ p s t ɑ m b u tʰ j ɑ n
ապստամբում	ɑ p ə s t ɑ m b u m
ապստամբում	ɑ p s t ɑ m b u m
ապտակում	ɑ p t ɑ k u m
ապրանքանիշ	ɑ p ɾ ɑ ŋ kʰ ɑ n i ʃ
ապրանքանիշերը	ɑ p ɾ ɑ ŋ kʰ ɑ n i ʃ e ɾ ə
ապրանքանշային	ɑ p ɾ ɑ ŋ kʰ ɑ n ə ʃ ɑ j i n
ապրանքատեսակներից	ɑ p ɾ ɑ ŋ kʰ ɑ t e s ɑ k n e ɾ i t͡sʰ
ապրանքներ	ɑ p ɾ ɑ ŋ kʰ n e ɾ
ապրանքները	ɑ p ɾ ɑ ŋ kʰ n e ɾ ə
ապրանքների	ɑ p ɾ ɑ ŋ kʰ n e ɾ i
ապրանքներին	ɑ p ɾ ɑ ŋ kʰ n e ɾ i n
ապրանքներն	ɑ p ɾ ɑ ŋ kʰ n e ɾ n
ապրել	ɑ p ɾ e l
ապրելակերպից	ɑ p ɾ e l ɑ k e ɾ p i t͡sʰ
ապրելը	ɑ p ɾ e l ə
ապրելով	ɑ p ɾ e l o v
ապրելուն	ɑ p ɾ e l u n
ապրեց	ɑ p ɾ e t͡sʰ
ապրիլ	ɑ p ɾ i l
ապրիլին	ɑ p ɾ i l i n
ապրող	ɑ p ɾ o ʁ
ապրում	ɑ p ɾ u m
ապօրինի	ɑ p o ɾ i n i
աջ	ɑ t͡ʃʰ
աջակացություն	ɑ t͡ʃʰ ɑ k ɑ t͡sʰ u tʰ j u n
աջակիցների	ɑ t͡ʃʰ ɑ k i t͡sʰ n e ɾ i
աջակցել	ɑ t͡ʃʰ ɑ k t͡sʰ e l
աջակցելով	ɑ t͡ʃʰ ɑ k t͡sʰ e l o v
աջակցելու	ɑ t͡ʃʰ ɑ k t͡sʰ e l u
աջակցեցին	ɑ t͡ʃʰ ɑ k t͡sʰ e t͡sʰ i n
աջակցող	ɑ t͡ʃʰ ɑ k t͡sʰ o ʁ
աջակցությամբ	ɑ t͡ʃʰ ɑ k t͡sʰ u tʰ j ɑ m b
աջակցության	ɑ t͡ʃʰ ɑ k t͡sʰ u tʰ j ɑ n
աջակցություն	ɑ t͡ʃʰ ɑ k t͡sʰ u tʰ j u n
աջակցում	ɑ t͡ʃʰ ɑ k t͡sʰ u m
առ	ɑ r
առած	ɑ r ɑ t͡s
առայժմ	ɑ r ɑ j ʒ ə m
առանձին	ɑ r ɑ n d͡z i n
առանձին-առանձին	ɑ r ɑ n d͡z i n ɑ r ɑ n d͡z i n
առանձնահատկության	ɑ r ɑ n d͡z n ɑ h ɑ t k u tʰ j ɑ n
առանձնահատկությունը	ɑ r ɑ n d͡z n ɑ h ɑ t k u tʰ j u n ə
առանձնահատկություններ	ɑ r ɑ n d͡z n ɑ h ɑ t k u tʰ j u n n e ɾ
առանձնահատկությունները	ɑ r ɑ n d͡z n ɑ h ɑ t k u tʰ j u n n e ɾ ə
առանձնահատկությունների	ɑ r ɑ n d͡z n ɑ h ɑ t k u tʰ j u n n e ɾ i
առանձնահատուկ	ɑ r ɑ n d͡z n ɑ h ɑ t u k
առանձնանալ	ɑ r ɑ n d͡z n ɑ n ɑ l
առանձնանան	ɑ r ɑ n d͡z n ɑ n ɑ n
առանձնանում	ɑ r ɑ n d͡z n ɑ n u m
առանձնապես	ɑ r ɑ n d͡z n ɑ p e s
առանձնացումը	ɑ r ɑ n d͡z n ɑ t͡sʰ u m ə
առանց	ɑ r ɑ n t͡sʰ
առանցքայինը	ɑ r ɑ n t͡sʰ kʰ ɑ j i n ə
առաջ	ɑ r ɑ t͡ʃʰ
առաջադրանքների	ɑ r ɑ t͡ʃʰ ɑ d ɾ ɑ ŋ kʰ n e ɾ i
առաջադրելու	ɑ r ɑ t͡ʃʰ ɑ d ɾ e l u
առաջադրման	ɑ r ɑ t͡ʃʰ ɑ d ə ɾ m ɑ n
առաջադրում	ɑ r ɑ t͡ʃʰ ɑ d ɾ u m
առաջադրվել	ɑ r ɑ t͡ʃʰ ɑ d ə ɾ v e l
առաջադրվեց	ɑ r ɑ t͡ʃʰ ɑ d ə ɾ v e t͡sʰ
առաջամասերով	ɑ r ɑ t͡ʃʰ ɑ m ɑ s e ɾ o v
առաջանալ	ɑ r ɑ t͡ʃʰ ɑ n ɑ l
առաջանում	ɑ r ɑ t͡ʃʰ ɑ n u m
Առաջատար	ɑ r ɑ t͡ʃʰ ɑ t ɑ ɾ
առաջարկածից	ɑ r ɑ t͡ʃʰ ɑ ɾ k ɑ t͡s i t͡sʰ
առաջարկելու	ɑ r ɑ t͡ʃʰ ɑ ɾ k e l u
առաջարկեց	ɑ r ɑ t͡ʃʰ ɑ ɾ k e t͡sʰ
առաջարկը	ɑ r ɑ t͡ʃʰ ɑ ɾ k ə
առաջարկի	ɑ r ɑ t͡ʃʰ ɑ ɾ k i
առաջարկներ	ɑ r ɑ t͡ʃʰ ɑ ɾ k n e ɾ
առաջարկող	ɑ r ɑ t͡ʃʰ ɑ ɾ k o ʁ
առաջարկությունների	ɑ r ɑ t͡ʃʰ ɑ ɾ k u tʰ j u n n e ɾ i
առաջարկություններից	ɑ r ɑ t͡ʃʰ ɑ ɾ k u tʰ j u n n e ɾ i t͡sʰ
առաջարկում	ɑ r ɑ t͡ʃʰ ɑ ɾ k u m
Առաջարկված	ɑ r ɑ t͡ʃʰ ɑ ɾ k v ɑ t͡s
առաջարկվող	ɑ r ɑ t͡ʃʰ ɑ ɾ k v o ʁ
առաջարկվում	ɑ r ɑ t͡ʃʰ ɑ ɾ k v u m
առաջացած	ɑ r ɑ t͡ʃʰ ɑ t͡sʰ ɑ t͡s
առաջացել	ɑ r ɑ t͡ʃʰ ɑ t͡sʰ e l
առաջացմամբ	ɑ r ɑ t͡ʃʰ ɑ t͡sʰ m ɑ m b
առաջացնել	ɑ r ɑ t͡ʃʰ ɑ t͡sʰ n e l
առաջացնելը	ɑ r ɑ t͡ʃʰ ɑ t͡sʰ n e l ə
առաջացնելով	ɑ r ɑ t͡ʃʰ ɑ t͡sʰ n e l o v
առաջացնում	ɑ r ɑ t͡ʃʰ ɑ t͡sʰ n u m
առաջացող	ɑ r ɑ t͡ʃʰ ɑ t͡sʰ o ʁ
առաջացված	ɑ r ɑ t͡ʃʰ ɑ t͡sʰ v ɑ t͡s
առաջացրեց	ɑ r ɑ t͡ʃʰ ɑ t͡sʰ ɾ e t͡sʰ
առաջընթացի	ɑ r ɑ t͡ʃʰ ə n tʰ ɑ t͡sʰ i
առաջընթացին	ɑ r ɑ t͡ʃʰ ə n tʰ ɑ t͡sʰ i n
առաջընթացների	ɑ r ɑ t͡ʃʰ ə n tʰ ɑ t͡sʰ n e ɾ i
առաջին	ɑ r ɑ t͡ʃʰ i n
առաջինը	ɑ r ɑ t͡ʃʰ i n ə
առաջինն	ɑ r ɑ t͡ʃʰ i n n
առաջխաղացումների	ɑ r ɑ t͡ʃʰ χ ɑ ʁ ɑ t͡sʰ u m n e ɾ i
առաջնակարգ	ɑ r ɑ t͡ʃʰ n ɑ k ɑ ɾ kʰ
առաջնահերթության	ɑ r ɑ t͡ʃʰ n ɑ h e ɾ tʰ u tʰ j ɑ n
առաջնահերթություն	ɑ r ɑ t͡ʃʰ n ɑ h e ɾ tʰ u tʰ j u n
առաջնային	ɑ r ɑ t͡ʃʰ n ɑ j i n
առաջնորդ	ɑ r ɑ t͡ʃʰ n o ɾ tʰ
առաջնորդն	ɑ r ɑ t͡ʃʰ n o ɾ tʰ n
առաջնորդների	ɑ r ɑ t͡ʃʰ n o ɾ tʰ n e ɾ i
